dt,datetime,latitude,longitude,co,no,no2,o3,so2,pm2_5,pm10,nh3
1701388800,2023-12-01 00:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.03,40.77,0.02,1.15,1.53,0.0
1701392400,2023-12-01 01:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.03,40.77,0.02,1.11,1.51,0.0
1701396000,2023-12-01 02:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.03,41.13,0.02,1.05,1.44,0.0
1701399600,2023-12-01 03:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.02,41.48,0.02,0.93,1.3,0.0
1701403200,2023-12-01 04:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.02,41.48,0.01,0.83,1.16,0.0
1701406800,2023-12-01 05:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.01,41.13,0.01,0.77,1.08,0.0
1701410400,2023-12-01 06:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.01,40.77,0.01,0.71,1.01,0.0
1701414000,2023-12-01 07:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.01,40.41,0.01,0.66,0.94,0.0
1701417600,2023-12-01 08:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.01,40.05,0.01,0.63,0.9,0.0
1701421200,2023-12-01 09:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.01,39.7,0.01,0.62,0.9,0.0
1701424800,2023-12-01 10:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.01,40.41,0.01,0.64,0.92,0.0
1701428400,2023-12-01 11:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.01,40.77,0.01,0.67,1.0,0.0
1701432000,2023-12-01 12:00:00+00:00,-0.24752401,51.52728104,277.04,0.0,0.01,40.77,0.02,0.67,1.09,0.0
1701435600,2023-12-01 13:00:00+00:00,-0.24752401,51.52728104,277.04,0.0,0.02,39.7,0.02,0.63,1.12,0.0
1701439200,2023-12-01 14:00:00+00:00,-0.24752401,51.52728104,277.04,0.0,0.02,39.34,0.01,0.59,1.07,0.0
1701442800,2023-12-01 15:00:00+00:00,-0.24752401,51.52728104,280.38,0.0,0.02,39.7,0.01,0.58,1.01,0.0
1701446400,2023-12-01 16:00:00+00:00,-0.24752401,51.52728104,280.38,0.0,0.02,40.05,0.01,0.58,0.97,0.0
1701450000,2023-12-01 17:00:00+00:00,-0.24752401,51.52728104,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
1701453600,2023-12-01 18:00:00+00:00,-0.24752401,51.52728104,277.04,0.0,0.03,39.34,0.01,0.56,0.92,0.0
1701457200,2023-12-01 19:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.03,38.98,0.01,0.57,0.93,0.0
1701460800,2023-12-01 20:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.03,39.7,0.01,0.61,0.98,0.0
1701464400,2023-12-01 21:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.04,41.13,0.01,0.68,1.04,0.0
1701468000,2023-12-01 22:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.04,43.63,0.01,0.77,1.08,0.0
1701471600,2023-12-01 23:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.04,47.21,0.01,0.92,1.2,0.0
1701475200,2023-12-02 00:00:00+00:00,-0.24752401,51.52728104,273.7,0.0,0.04,50.07,0.01,1.21,1.49,0.0
1701388800,2023-12-01 00:00:00+00:00,-0.24752401,51.51728104,273.7,0.0,0.03,40.77,0.02,1.15,1.53,0.0
1701392400,2023-12-01 01:00:00+00:00,-0.24752401,51.51728104,273.7,0.0,0.03,40.77,0.02,1.11,1.51,0.0
1701396000,2023-12-01 02:00:00+00:00,-0.24752401,51.51728104,273.7,0.0,0.03,41.13,0.02,1.05,1.44,0.0
1701399600,2023-12-01 03:00:00+00:00,-0.24752401,51.51728104,273.7,0.0,0.02,41.48,0.02,0.93,1.3,0.0
