,mae_list,mse_list,rmse_list,mean_mae,std_mae,mean_mse,std_mse,mean_rmse,std_rmse
"(0.1,5,50)","[2.8547906284435607, 2.345347397417509, 2.7365953784382846, 1.9217384865723266, 2.5039550226079355]","[10.403358779797145, 7.079758847839144, 9.4183531957803, 4.774951358985705, 8.102297436477038]","[3.2254238139812177, 2.660781623478173, 3.0689335600140155, 2.1851662085492958, 2.8464534839826627]",2.4725,0.3275,7.9557,1.9512,2.7974,0.3613
"(0.1,5,150)","[3.076513509981516, 3.4888832708808577, 3.7385483714687435, 3.406600893592578, 3.5884371070562593]","[11.908609127503395, 15.656377474973382, 16.5232701327077, 14.864980552789685, 15.564844197430336]","[3.4508852672181662, 3.956814056153433, 4.064882548451763, 3.8555130077318744, 3.9452305632789493]",3.4598,0.2213,14.9036,1.5874,3.8547,0.2125
"(0.1,5,200)","[3.1959269983292966, 3.418850367907869, 3.2512334800382, 3.535020230485027, 3.372260486137509]","[13.060351766593902, 14.899639765721158, 13.315396597708462, 15.629662245258803, 14.442003725198397]","[3.6139108686565447, 3.860005150996713, 3.6490268014511025, 3.953436763786516, 3.8002636389069635]",3.3547,0.1207,14.2694,0.9643,3.7753,0.1277
"(0.1,5,400)","[3.251337254070057, 3.652586290790479, 3.528012968658046, 3.436926268666304, 3.172745793428875]","[13.336072409199604, 16.254560280761133, 15.446390142551722, 14.82044971413056, 12.73832332893098]","[3.6518587608503705, 4.031694467684913, 3.9301895809937366, 3.8497337198994113, 3.569078778751035]",3.4083,0.176,14.5192,1.3064,3.8065,0.1721
"(0.1,10,50)","[2.2797250884616442, 2.335063123947649, 2.299052749513934, 2.5191940255755014, 2.4766266077732793]","[6.859464768094443, 6.94982026287455, 6.728778945478616, 8.197361711718829, 7.779783170235047]","[2.619057992503114, 2.636251175983531, 2.593989002574725, 2.8631035104792892, 2.7892262673069474]",2.3819,0.0973,7.303,0.5794,2.7003,0.1062
"(0.1,10,150)","[3.5142295234034653, 3.187582776293534, 3.3049100864133267, 3.4120272653853556, 3.240827462493447]","[15.449519648097871, 13.024604761910796, 13.463572475287737, 14.719452352540642, 13.561545403860894]","[3.9305876975457337, 3.6089617290726146, 3.669274107407041, 3.836593847743157, 3.682600358966595]",3.3319,0.1179,14.0437,0.8989,3.7456,0.1191
"(0.1,10,200)","[3.439918542806885, 3.3597992017619873, 3.3778499950920073, 3.3285390873020755, 3.3153270753321267]","[14.748946403301332, 13.847210162165455, 14.281027732297481, 13.846764094151117, 13.919980129892787]","[3.8404357048779416, 3.721183973168413, 3.779024706494717, 3.7211240363835114, 3.7309489583606994]",3.3643,0.0438,14.1288,0.3493,3.7585,0.0462
"(0.1,10,400)","[3.3491933109404055, 3.4904660515043804, 3.3512359778357568, 3.460289465658732, 3.3343626171067227]","[13.96804603662907, 15.40887553229169, 14.050420843458193, 15.30647355269416, 14.005780670835122]","[3.737384919516462, 3.925414058706634, 3.748389099794496, 3.9123488536548168, 3.742429781683969]",3.3971,0.0649,14.5479,0.6625,3.8132,0.0865
"(0.1,20,50)","[2.3835381566535276, 2.258848441662715, 2.451833184267399, 2.526962188608569, 2.2452996650632735]","[7.3598793578404935, 6.9672909018098315, 7.767403685320011, 8.011667382290153, 6.5751006548038555]","[2.7129097585140007, 2.63956263456843, 2.787006222691297, 2.830488894571069, 2.564195908038981]",2.3733,0.109,7.3363,0.5212,2.7068,0.0966
"(0.1,20,150)","[3.4217728851338443, 3.4210733758807903, 3.3887209085287386, 3.295183204280389, 3.4363980925411663]","[14.889274052720403, 14.514821844455941, 14.300826143942226, 13.662878358448902, 14.774235916272275]","[3.8586622102382067, 3.8098322593594514, 3.7816433126277555, 3.6963330962521357, 3.843726826437107]",3.3926,0.0512,14.4284,0.434,3.798,0.0575
